Date,Forecasted_Revenue,Safety_Stock,Reorder_Quantity
2011-12-05,39017.25122487873,7803.4502449757465,46820.7
2011-12-06,42830.581850407216,8566.116370081443,51396.7
2011-12-07,37355.28976491284,7471.057952982569,44826.35
2011-12-08,46720.06353419989,9344.01270683998,56064.08
2011-12-09,31774.29370688254,6354.858741376509,38129.15
2011-12-10,5687.018190512968,1137.4036381025937,6824.42
2011-12-11,22423.07662423994,4484.615324847989,26907.69
2011-12-12,32316.22516698593,6463.2450333971865,38779.47
2011-12-13,35439.199887407616,7087.839977481523,42527.04
2011-12-14,29170.368343199338,5834.073668639868,35004.44
2011-12-15,38086.34937877339,7617.269875754679,45703.62
2011-12-16,22365.924873310676,4473.184974662136,26839.11
2011-12-17,0.0,0.0,0.0
2011-12-18,12209.57361397449,2441.914722794898,14651.49
2011-12-19,22175.989113914395,4435.1978227828795,26611.19
2011-12-20,25416.09790465813,5083.219580931626,30499.32
2011-12-21,19270.87296377435,3854.17459275487,23125.05
2011-12-22,28747.54749534948,5749.509499069896,34497.06
2011-12-23,13333.795510827114,2666.759102165423,16000.55
2011-12-24,0.0,0.0,0.0
2011-12-25,4655.559698944976,931.1119397889952,5586.67
2011-12-26,15845.021994235158,3169.0043988470316,19014.03
2011-12-27,20320.94536879867,4064.1890737597346,24385.13
2011-12-28,15359.26300479668,3071.852600959336,18431.12
2011-12-29,26370.88375621223,5274.176751242447,31645.06
2011-12-30,12126.890257313298,2425.3780514626596,14552.27
2011-12-31,0.0,0.0,0.0
2012-01-01,6229.0704529816,1245.81409059632,7474.88
2012-01-02,19043.348300779657,3808.6696601559315,22852.02
2012-01-03,24971.927326289526,4994.385465257906,29966.31
